shuffle_ds,balance_ds,split_prcnts,,,net_cnn_name,freeze_layers,numHiddenUnits,drop_prob,MaxEpochs,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatiences,acc,uar,F1,sensitivity,PPV,specificity,loss_train_best,loss_val_best,loss_train_end,loss_val_end
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.03,20,8,0.0001,0.003,0.99,10,54.1,54.1,56.8,60.3,53.7,47.9,0.697060291,0.680843115,0.625673589,0.71935153
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,8,0.001,0.003,0.9,10,50,50,0,0,NaN,100,0.693894277,0.693147242,0.693265185,0.693150759
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,4,0.0001,0.0001,0.99,10,55.5,55.5,59.4,65.1,54.6,45.9,0.701179032,0.67978096,0.134636353,1.735332608
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,8,0.01,0.01,0.9,10,52.1,52.1,59.3,69.9,51.5,34.2,0.820145955,0.693152964,0.719897915,0.735211492
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,4,0.003,0.003,0.7,10,40.4,40.4,50.6,61,43.2,19.9,0.696911545,0.686409056,0.696911545,0.686409056
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,8,0.003,0.003,0.99,10,49.7,49.7,64.6,91.8,49.8,7.5,0.694037135,0.693147361,0.693736067,0.693148136
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,4,0.0003,0.0001,0.7,10,50,50,54.7,60.3,50,39.7,0.710781814,0.689514875,0.222867899,1.19903636
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,8,0.003,0.01,0.7,10,50,50,0,0,NaN,100,0.693238417,0.693147182,0.69316141,0.693147361
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.01,20,4,0.01,0.001,0.7,10,57.2,57.2,63.1,73.3,55.4,41.1,0.717377655,0.69315201,0.724292372,0.693448484
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.01,20,4,0.001,0.0003,0.9,10,50.3,50.3,54.8,60.3,50.3,40.4,0.694812534,0.693110228,0.693192956,0.693147361
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.3,20,4,0.001,0.0001,0.9,10,52.7,52.7,61.9,76.7,51.9,28.8,0.694854466,0.6931476,0.693685035,0.693147659
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,8,0.001,0.001,0.7,10,47.9,47.9,53.9,61,48.4,34.9,0.693362364,0.693147779,0.693183731,0.693154275
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.3,20,8,0.001,0.0003,0.99,10,50.7,50.7,55,60.3,50.6,41.1,0.718864777,0.692999363,0.696919526,0.69376874
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.3,20,8,0.0001,0.0003,0.7,10,56.5,56.5,60.7,67.1,55.4,45.9,0.657740487,0.689474583,0.284217806,0.900224984
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,8,0.001,0.0003,0.99,10,49.7,49.7,66.1,97.9,49.8,1.4,0.694273698,0.693147302,0.694403377,0.693172753
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,8,0.01,0.003,0.9,10,49.7,49.7,66.4,99.3,49.8,0,0.90657678,0.693364203,0.786593569,0.70021826
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,8,0.003,0.0003,0.99,10,48.6,48.6,54,60.3,48.9,37,0.705437204,0.693277597,0.868369169,0.717644811
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,4,0.01,0.0003,0.99,10,50,50,66.7,100,50,0,0.943189165,0.693172216,0.918036611,0.694498897
