shuffle_ds,,,split_prcnts,net_cnn_name,freeze_layers,win_len,overlap_win,overlap_spectrograms,spectrum_type,win_norm,filter_bank_norm,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatience,acc,uar,F1,sensitivity,PPV,specificity,loss_train,loss_val
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.8,magnitude,0,none,32,0.0001,0.01,0.7,5,64.888,65.89,56.838,68.98,48.7,62.82,0.557721012928454,0.811196196079254
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.8,magnitude,1,none,16,0.01,0.01,0.99,5,38.698,50.516,48.214,86.22,33.78,14.84,0.694014098692729,0.69388667345047
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.75,magnitude,0,none,64,0.01,0.003,0.7,5,52.566,55.518,41.252,64.14,NaN,46.9,0.685157089568173,0.687668454647064
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.85,magnitude,1,none,16,0.0001,0.0003,0.99,5,71.69,72.89,64.598,76.58,55.96,69.22,0.684420915185503,0.703038465976715
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.9,power,0,none,32,0.003,0.0003,0.9,5,37.542,48.622,46.714,82.08,32.88,15.16,0.693518784907803,0.690789663791657
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.9,magnitude,0,none,16,0.01,0.0003,0.7,5,68.414,69.066,60.142,71.04,52.36,67.12,0.625924084038431,0.632556021213531
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.9,magnitude,0,none,16,0.01,0.01,0.9,5,38.554,50.528,48.332,86.92,33.74,14.16,0.717771825426412,0.694752085208893
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.75,magnitude,1,none,32,0.0003,0.003,0.7,5,62.442,64.398,55.476,70.36,46.16,58.44,0.725144802396063,0.706831967830658
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.9,power,1,none,64,0.0001,0.0001,0.99,5,68.506,70.002,61.422,74.5,52.64,65.52,0.723723185062408,0.697550344467163
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.8,power,0,none,64,0.01,0.01,0.7,5,67.44,68.16,59.012,70.38,51.12,65.96,0.633881086598621,0.633465456962585
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.85,power,0,none,32,0.0003,0.0001,0.99,5,68.192,68.56,59.376,69.64,51.82,67.46,0.645339317396922,0.738499057292938
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.9,magnitude,0,none,32,0.001,0.0001,0.99,5,63.374,65.618,57.438,72.44,48.08,58.82,0.646345878626936,0.65589405298233
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.75,magnitude,0,none,64,0.003,0.001,0.99,5,45.402,52.784,48.2,75.18,35.82,30.4,0.676671084990363,0.674384164810181
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.9,magnitude,1,none,32,0.001,0.0001,0.99,5,67.506,68.732,59.786,72.42,51.16,65.06,0.704196297975728,0.644995772838593
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.85,magnitude,1,none,16,0.0001,0.0001,0.99,5,71.416,71.498,62.602,71.74,55.68,71.28,0.643992956087912,0.714328849315643
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.85,power,0,none,64,0.0001,0.001,0.99,5,68.58,70.038,61.392,74.5,52.36,65.6,0.485954616729742,0.812766313552856
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.75,magnitude,1,none,32,0.001,0.001,0.9,5,62.53,66.036,57.552,76.54,46.2,55.5,0.682973097885951,0.67136504650116
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.85,magnitude,1,none,32,0.001,0.003,0.99,5,65.136,67.78,59.194,75.88,48.72,59.68,0.636325557797508,0.647222220897675
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.8,magnitude,0,none,64,0.0003,0.0003,0.9,5,65.192,66.994,58.256,72.44,49,61.56,0.65386161368346,0.825197839736938
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.9,magnitude,0,none,32,0.01,0.0003,0.9,5,64.602,67.222,58.944,75.2,49,59.26,0.713801902531072,0.679031586647034
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.9,magnitude,1,none,64,0.001,0.0001,0.7,5,68.836,68.366,59.08,66.92,53.24,69.82,0.71672089099884,0.74148463010788
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.8,power,0,none,16,0.003,0.0001,0.7,5,63.276,66.568,58.262,76.58,47.08,56.56,0.630619233891991,0.66024786233902
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.75,magnitude,0,none,16,0.003,0.001,0.99,5,51.968,56.17,49.188,68.98,38.6,43.36,0.73404568762532,0.686433637142181
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.75,magnitude,0,none,64,0.0003,0.001,0.7,5,66.274,67.794,59.11,72.44,50.14,63.2,0.646161251025934,0.69210216999054
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.75,magnitude,0,none,32,0.001,0.0003,0.99,5,66.896,69.656,61.31,77.94,51.18,61.38,0.646797310891077,0.645337355136871
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.85,magnitude,0,none,16,0.001,0.0001,0.99,5,68.586,71.246,62.878,79.3,52.14,63.18,0.634180036488009,0.646780669689178
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.9,magnitude,1,none,16,0.0003,0.003,0.9,5,68.814,70.392,61.842,75.2,52.6,65.62,0.591830187480722,0.650554895401001
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.8,magnitude,1,none,64,0.0003,0.01,0.99,5,67.054,67.348,58.204,68.28,50.76,66.44,0.757939488548375,0.690470468997955
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.8,power,1,none,32,0.003,0.0001,0.99,5,63.818,65.22,56.014,69.42,47.08,61.02,0.651337454490985,0.67477023601532
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.9,magnitude,1,none,16,0.0001,0.0003,0.9,5,71.608,71.48,62.7,71.06,56.64,71.92,0.711566877365112,0.712824440002441
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.75,magnitude,0,none,32,0.0003,0.001,0.9,5,65.124,67.272,58.636,73.82,48.8,60.76,0.707459969250327,0.695026540756226
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.75,magnitude,0,none,16,0.0003,0.0001,0.9,5,65.29,67.76,58.95,75.2,48.88,60.36,0.622282307380713,0.679231584072113
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.9,power,1,none,32,0.0001,0.01,0.99,5,61.734,66.282,58.552,80.02,46.3,52.56,0.7356165766716,0.707687962055206
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.85,power,0,none,32,0.001,0.01,0.7,5,60.46,63.62,55.296,73.1,44.5,54.14,0.628279764723847,0.666188180446625
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,power,1,none,16,0.0003,0.001,0.9,5,67.456,68.646,59.848,72.26,51.14,65.06,0.655239152521698,0.668161046504974
